Certified,URL
Codio Ubuntu 22.04,https://codio.com/home/stacks/34217742-42e7-499d-a09b-2dd3f36d0067
Node 18 Ubuntu 22.04,https://codio.com/home/stacks/3e866ece-8c2e-4aaf-9460-057b43124dac
Java 17 Ubuntu 22.04,https://codio.com/home/stacks/61e7a54d-83fb-4d53-b7c6-a4712542e7b6
Python Ubuntu 22.04 (pyenv),https://codio.com/home/stacks/9de26481-d136-4229-8425-29c322401bfe
Angular (G2),https://codio.com/home/stacks/4f794e7d-73e5-4309-bce0-fe4c62810373
Jupyter Lab Python 3.11 ubuntu 22.04,https://codio.com/home/stacks/743a6caa-0dfa-445b-8e46-579fcd8cf694
C++ GCC 11.04 Ubuntu 22.04,https://codio.com/home/stacks/f169e7b9-9ff1-427e-9bc7-7482b6a66369
SaasBook,https://codio.com/home/stacks/43a6f583-2bdf-4a73-bf8c-11869f55e38e
Processing language,https://codio.com/home/stacks/a868eae4-4ddc-4a0e-bfba-3ee186429234
Java 21 Ubuntu 22.04,https://codio.com/home/stacks/5339a82b-b4c1-4d78-9342-f15c07bd33a0
Advanced JS (Node plus Jest),https://codio.com/home/stacks/ee87256e-7e7b-4dfe-bdce-90cfd0bfd327
Codio Stack for API Starter Pack 22.04,https://codio.com/home/stacks/f79cc870-05c3-48f4-a9d8-e44562218bc8
Advanced JS (Node plus Jest),https://codio.com/home/stacks/ee87256e-7e7b-4dfe-bdce-90cfd0bfd327
X Server for GUI Demo,https://codio.com/home/stacks/8ecb0aff-c87d-4992-b232-5fc41b294de0
Hello Codio with MySQL on 22.04,https://codio.com/home/stacks/3c2bda65-165d-4ba1-ba58-c806110e6545
Ruby 3.2 Ubuntu 22.04,https://codio.com/home/stacks/f04e987e-324c-4226-84fd-89714265f616
