Certified,URL
Onboarding - Quick Start,https://codio.com/home/starter-packs/2ae8501b-e5f7-4b07-8e9f-adb155fc6d10
Demo GUI Output,https://codio.com/home/starter-packs/d9c00215-ec2a-46e7-b64e-85fab45b0872
Hello Codio in Python,https://codio.com/home/starter-packs/a098bbc2-ad8f-40ce-b7e5-2932c0f11cb4
Hello Codio in Jupyter Notebooks,https://codio.com/home/starter-packs/2ca374ce-c480-4c2c-8833-f01ff6f473d4
Hello Codio in C++,https://codio.com/home/starter-packs/7fdfe1cc-315c-40a5-a68d-a6caae9adb5c
Hello Codio in Java,ttps://codio.com/home/starter-packs/4bbb2b94-8357-400e-a476-e12a16972a44
Hello Codio with mySQL ,ttps://codio.com/home/starter-packs/d7116f2d-3acb-493b-9c5b-593e20730a65
Hello Codio in HTML/CSS/JavaScript,https://codio.com/home/starter-packs/d010c15a-b50d-40c6-8bb7-6eef47e6e9ca
Advanced Features in Python,https://codio.com/home/starter-packs/e821a479-7069-48d2-8b7c-70e02a4ada13
Hello Codio in Scratch,https://codio.com/home/starter-packs/af3248f1-82cf-4c70-8170-d3e0c77a147e
Hello Codio in R with RStudio,Not ready needs new stack
Advanced Features in JavaScript,https://codio.com/home/starter-packs/aa3d0fa0-46dc-4c16-abeb-223451de3c73
Hello Codio in C,https://codio.com/home/starter-packs/a22062b3-7ea9-4ace-a9fa-c6cd7f9a35ff
Hello Codio API,https://codio.com/home/starter-packs/3c85d860-12cd-4937-84c7-1d4103b0c772
